Name,Industry,Industry 2,Industry 3,Country,Description,Domain,company_email,phone,Founder,Funding type,Last Equity Funding Amount,Funding Type,Total Equity Funding Amount,Investory,Investor 2,Investor 3,Investor 4 ,Investor,Monthly Visits,Average Visits (6 months),Monthly Visits Growth,Visit Duration,Visit Duration Growth,Page Views / Visit Growth,Bounce Rate,Bounce Rate Growth,Global Traffic Rank
Goods Unite Us,Apps,Data Visualization,E-Commerce,United States,Goods Unite Us is an App and website focused on helping consumers shop in alignment with their social and political beliefs.,www.goodsuniteus.com,ian@goodsuniteus.com,678-836-6933,Amy Jo Miller,Seed,"$4,80,000.00",Seed,"$15,15,000.00",MaSa Partners,Batchery,Mark Bakken,SymphonyAlpha Ventures,Nels Friets,"63,594","68,108.17",42.39%,267,-1.11%,-10.78%,74.86%,37.94%,"4,28,374"
Liva AI,Artificial Intelligence (AI),Data Collection and Labeling,Information Technology,United States,Liva AI provides real voice and video data for AI.,www.theliva.ai,contact@theliva.ai,—,Ashley Mo,Seed,"$30,00,000.00",Pre-Seed,"$30,00,000.00",Amino Capital,CRV,,,,"1,314",—,-75.53%,30,-96.32%,-19.19%,63.93%,-22.54%,"57,65,535"
Inicio AI,Accounting,Personal Finance,SaaS,United Kingdom,Inicio AI is a SaaS platform that builds the conversational AI driven tool that helps in income and expenditure assessment.,inicio.ai/,sales@inicio.ai,—,,Seed,"£12,50,000.00",Seed,"£17,50,000.00",Haatch,Morgan Stanley,Future Planet Capital,Midven,Mint Ventures,"11,053","8,320.17",-22.66%,654,-16.37%,-10%,62.74%,36.21%,"16,42,225"
EMPI DREAM,Apps,Artificial Intelligence (AI),iOS,United States,Mobile App,empidream.com,hello@empidream.com,—,,Seed,"$8,00,000.00",Angel,"$8,00,000.00",,,,,,—,—,—,—,—,—,—,—,—
CFX Labs,Financial Services,Payments,Transaction Processing,United States,"CFX Labs provides payment processing solutions for app publisher, marketplace, and retailer.",www.cfxlabs.com,hello@cfxlabs.com,1 (708) 918-3746,Nicholas Cavet,—,"$1,40,12,518.00",Venture - Series Unknown,"$2,35,12,518.00",Antalpha,CMT Digital,Triton Capital,Corazon Capital,New Form Capital,264,384.67,780%,250,-60.21%,214.77%,28.41%,-71.59%,"1,23,77,480"
HomeRoom,Analytics,Communities,Consulting,United States,"Community intelligence platform that allows businesses to identify, capture, and engage their most valuable customers on Discord.",homeroom.club,hello@homeroom.club,—,,—,"$1,20,000.00",Undisclosed,"$1,20,000.00",Techstars,Techstars Music Accelerator,,,,—,—,—,—,—,—,—,—,—
Popsink,Analytics,Software,,France,Popsink develops the next generation of data processing tools for the modern data stack.,popsink.com,—,—,Benjamin Djidi,Seed,"€30,00,000.00",Seed,"€38,80,000.00",Kima Ventures,XAnge,Seedcamp,IRIS,Irregular Expressions,583,"1,137.17",-82.3%,533,78.86%,-11.93%,87.48%,0.06%,"83,25,874"
Melee,Cryptocurrency,Financial Services,Trading Platform,United States,"Melee Markets is a decentralized, Solana-based prediction platform that enables users to create and trade markets on any topic.",alpha.melee.markets/,—,—,,Seed,"$35,00,000.00",Seed,"$35,00,000.00",Variant,DBA,,,,—,—,—,—,—,—,—,—,—
Sensetics,Artificial Intelligence (AI),Human Computer Interaction,Information Technology,United States,Sensetics develops tactile sensing and haptic technologies that enable the digital capture and reproduction of touch.,www.senseticscorp.com,—,—,Rayne Zheng,Seed,"$17,50,000.00",Pre-Seed,"$17,50,000.00",MetaVC Partners,Fitz Gate Ventures,AIC Ventures,BlueSky Capital,,"1,178",—,799.24%,340,"8,400%",168.85%,9.68%,—,"60,51,740"
Miyagi Labs,Education,Media and Entertainment,SaaS,United States,Miyagi Labs is an educational content creating platform that allows users to interact with professors.,miyagilabs.ai/,founders@miyagilabs.ai,—,Tyrone Davis III,Seed,"$5,00,000.00",Pre-Seed,"$5,00,000.00",Y Combinator,SBXi,,,,"1,10,467","68,818",23.59%,869,7.68%,15.03%,31.56%,-26.6%,"2,80,928"
Daylight,Apps,Blockchain,Cryptocurrency,United States,"Daylight is ""onchain for you"". Our transaction recommendation API helps apps, protocols, and creators grow.",www.daylight.xyz/,—,—,Morley Zhi,—,"$60,00,000.00",Venture - Series Unknown,"$90,00,000.00",Union Square Ventures,Framework Ventures,6th Man Ventures,Chapter One,OpenSea,"5,427","3,332.17",17.19%,290,116.42%,-40.73%,95.54%,73.84%,"27,46,280"
Blockpliance Inc.,Analytics,B2B,Blockchain,United States,User-friendly blockchain analytics and crypto compliance platform,www.blockpliance.com,info@blockpliance.com,—,Guillermo Fernandes,M&A,"$1,25,000.00",Pre-Seed,"$1,25,000.00",Latitud,MassChallenge,,,,—,—,—,—,—,—,—,—,—
Reliabl,Artificial Intelligence (AI),Developer Tools,,United States,"Reliabl delivers smarter AI with user-driven, context-rich data annotation for better, bias-resistant model performance.",reliabl.ai,annie@reliabl.ai,6192199392,,—,"$3,70,000.00",Undisclosed,"$4,70,000.00",Techstars,Chasing Rainbows,Patrick Spaulding Ryan,SecondMuse,Silvia Mah,234,248.33,-14.91%,34,-90.09%,30.02%,0%,-40%,"1,31,36,956"
Deckmatch,Analytics,Artificial Intelligence (AI),Information Technology,Norway,Deckmatch is an AI-driven platform that enhances investment deal flow by automating routine tasks for venture capital professionals.,www.deckmatch.com,—,—,Walid Mustapha,Seed,"$30,00,000.00",Seed,"$60,90,453.00",Skyfall Ventures,Luminar Ventures,Alliance VC,First Degree Capital,VeroPath Capital,594,"2,252",-54.1%,170,-74.74%,-69.66%,42.93%,54.31%,"82,53,540"
Ahura AI,Artificial Intelligence (AI),EdTech,Education,United States,Ahura AI develops an AI tutoring tool to improve employee productivity and retention.,www.ahuraai.com/,info@ahuraai.com,949-322-4716,Bryan Talebi,Seed,"$56,00,000.00",Seed,"$88,50,000.00",Alchemist Accelerator,Blue Moon,CP Ventures,Cathexis Ventures,,91,380.67,-91.42%,14,-88.52%,-30.35%,56.04%,-20.08%,"1,96,80,315"
Zetta Technologies,Developer Platform,Information Technology,IT Management,Saudi Arabia,Zetta Technologies is a Device as a Service (DaaS) provider with a unique business model.,zettatech.sa.com,info@zettatech.sa.com,+966 503564670,Faisal Alabdelsalam,Early Stage Venture,"$1,20,00,000.00",Series A,"$1,34,93,142.00",Core Vision Investments,National Dimensions Investment,,,,240,334.67,166.67%,143,-37%,9.58%,70.83%,-13.85%,"1,29,75,541"
Thane,Cryptocurrency,Decentralized Finance (DeFi),FinTech,Singapore,Thane is turning social alpha into automated portfolios. Hold one portfolio token and mirror the convictions of crypto’s leading voices.,www.thane.zone/,info@thane.zone,—,Lena Roesch,Seed,"$1,25,000.00",Pre-Seed,"$1,25,000.00",Antler,,,,,—,—,—,—,—,—,—,—,—
Vardera,Artificial Intelligence (AI),Computer Vision,Online Auctions,United States,"Vardera is the intelligence layer that helps organizations understand, price, and move hard assets with confidence.",www.vardera.com/,info@vardera.com,—,Derek Bugley,Seed,"$34,16,815.00",Seed,"$34,16,815.00",,,,,,664,—,"2,918.18%",167,240.82%,30.65%,32.08%,—,"78,28,642"
Banana,AI Infrastructure,Developer APIs,Information Technology,United States,"Banana is an ML API for developers to run ML workloads from a single line of code, without any learning curve.",www.banana.dev,—,—,Kyle Morris,Seed,"$34,00,000.00",Seed,"$34,00,000.00",Alumni Ventures,"Founders, Inc.",CapitalX,Spice Capital,Basecamp Fund,"6,696","4,880.33",56.27%,73,-75.83%,13.18%,49.6%,-18.26%,"23,88,160"
Loon,Blockchain,Cloud Computing,Finance,Canada,"Loon is a financial technology startup committed to developing a regulated, transparent, and trusted Canadian-dollar stablecoin.",loon.finance,legal@loon.finance,—,,Seed,"CA$30,00,000.00",Pre-Seed,"CA$30,00,000.00",Version One Ventures,Garage Capital,,,,"1,011",—,63.33%,214,-6.14%,-34.14%,81.8%,74.01%,"64,75,901"
Vetano,Employment,Human Resources,Identity Management,United States,Vetano is a hiring marketplace where employers avoid costly mis-hires by using ID verification and video-proven skills instead of resumes.,vetano.com,hello@vetano.com,203-744-9797,,Seed,"$4,48,000.00",Angel,"$4,98,000.00",Matt Barnes,,,,,"1,139",—,—,0,—,—,100%,—,"61,44,231"
RecXchange Portal LLC,Artificial Intelligence (AI),Human Resources,Recruiting,United Arab Emirates,Recruitment Operating System,recxchange.io,support@recxchange.io,—,Tom Andrews,Seed,—,Seed,"$1,00,000.00",Tom Andrews,James Brown,,,,"3,766","2,000.5",-41.15%,232,373.47%,15.52%,62.48%,115.97%,"34,76,533"
Amoeba AI,Artificial Intelligence (AI),Business Intelligence,Predictive Analytics,United States,Amoeba is an AI-Powered Data Science platform,amoeb.ai,marketing@amoeb.ai,—,,Seed,"$5,00,212.00",Pre-Seed,"$5,00,212.00",Right Side Capital Management,,,,,820,364,696.12%,"1,151",116.76%,178.29%,75.85%,-24.15%,"71,11,301"
MecAgent,CAD,Civil Engineering,Mechanical Engineering,United States,MecAgent offers engineering assistance to mechanical and CAD designing services.,mecagent.com/,contact@mecagent.com,—,Guillaume Debregeas,Seed,"$30,00,000.00",Seed,"$30,00,000.00",Kima Ventures,Outlander VC,Thomas Wolf,Drysdale Ventures,Founders,"35,312","23,778.5",64.52%,179,-25.1%,8.5%,34.08%,-23.23%,"6,70,049"
CROMODATA,Data Mining,Health Care,Medical,Argentina,Turning health data into action for patients across LATAM,www.cromodata.com/,info@cromodata.com,—,,Seed,"$12,00,000.00",Pre-Seed,"$12,00,000.00",PharmStars,,,,,129,—,-49.41%,459,—,582.95%,0%,0%,"1,72,05,873"
Autonoma,Artificial Intelligence (AI),Information Technology,Internet,United States,"No code, self-healing UI testing.",www.getautonoma.com,—,—,Nicolas Marcantonio,Seed,—,Pre-Seed,"$1,25,000.00",Bessemer Venture Partners,Guillermo Rauch,Matias Woloski,Transform,George Shultz Innovation Fund,"1,446","1,194.67",16.05%,47,-74.73%,12.98%,63.62%,-1.65%,"55,30,378"
Glydr,Consumer Electronics,eSports,Human Computer Interaction,United States,Glydr is a precision dual foot operated controller designed to improve performance and make playing video games more fun - Gaming Hardware,www.glydr.gg,peter.bartnik@glydr.gg,2148014306,Peter Bartnik,Seed,"$1,25,000.00",Pre-Seed,"$5,82,400.00",MassChallenge,,,,,962,—,42.52%,341,-80.57%,-16.56%,51.77%,188.73%,"66,19,377"
ListedB,Beauty,Communities,Marketplace,United States,ListedB is a social booking app for beauty & wellness services within the Black community. A marketplace connecting professionals & clients.,listedb.com,hello@listedb.com,—,Shaniece Wilson,Seed,"$1,01,000.00",Angel,"$2,21,000.00",Techstars,,,,,—,—,—,—,—,—,—,—,—
American AI Logistics,Artificial Intelligence (AI),GovTech,SaaS,United States,American AI Logistics is a govtech SaaS platform enabling businesses to secure government contracts with tailored proposals.,www.americanailogistics.com/,jcofrancesco@americanailogistics.com,407-342-5187,Tim Silk,—,"$56,65,000.00",Venture - Series Unknown,"$67,65,000.00",,,,,,73,315.67,-58.29%,371,116.6%,800%,0%,26.26%,"2,12,61,397"
Mobility Mojo,Information Services,Small and Medium Businesses,Software,Ireland,Mobility mojo is an evaluation tech for facilities and hotel accessibility.,mobilitymojo.com/,hello@mobilitymojo.com,353 1 525 3013,,Early Stage Venture,"€42,50,000.00",Series A,"€42,50,000.00",Gresham House Ventures,,,,,"1,838",—,34.85%,104,-72.92%,-54.74%,59.85%,139.98%,"49,88,958"
Showtime,Blockchain,Cryptocurrency,Non-Fungible Token (NFT),United States,Showtime is a non-fungible token (NFT) social network where people can discover and share NFT art.,showtime.xyz/,—,—,Alex Masmej,Seed,"$76,00,000.00",Seed,"$76,00,000.00",Paradigm,Dragonfly,Robot Ventures,Balaji Srinivasan,Meltem Demirors,318,345,214.85%,95,-86.21%,83.02%,79.25%,-20.75%,"1,12,45,330"
Log10,Artificial Intelligence (AI),Data Management,Software,United States,Self-improving LLM Applications: AI that optimizes LLM applications by tuning prompts and models,log10.io/,—,—,Niklas Nielsen,Seed,"$72,00,000.00",Seed,"$72,00,000.00",TQ Ventures,Quiet Capital,Essence VC,,,224,321.83,48.34%,745,710%,305.8%,0%,67.06%,"1,34,07,246"
Entendre Finance,Accounting,Artificial Intelligence (AI),Cryptocurrency,United States,"Entendre Finance automates accounting, reporting, and bookkeeping for blockchain and digital asset transactions.",entendre.finance/,partnerships@entendre.finance,786- 420-3342,,Seed,"$40,00,000.00",Seed,"$40,00,000.00",Alumni Ventures,MoonPay,Caffeinated Capital,Basis Set Ventures,Valhalla Ventures,636,400.17,208.74%,12,300%,27.18%,65.41%,-30.54%,"79,85,381"
Surge,Artificial Intelligence (AI),Biotechnology,Electronic Health Record (EHR),France,Surge personalizes the care of patients undergoing surgery by providing an accurate prediction of postoperative infections.,www.surge.care,contact@surge2surgery.com,—,,Seed,"€53,00,000.00",Seed,"$83,30,678.00",Bpifrance,Kima Ventures,HCVC,Eurazeo,50 Partners,897,472.17,79.4%,0,247.83%,-60%,100%,81.82%,"68,29,649"
Role,Apps,Gaming,Information Technology,United States,"Role is all about your story. Gather your friends, become fantastic characters, and go on wild adventures.",www.playrole.com/,hello@roleapp.com,—,Ian Hirschfeld,Seed,"$27,50,000.00",Seed,"$27,50,000.00",Konvoy,LVP,,,,"14,380","8,428.17",247.93%,900,159.37%,-54.59%,78.64%,86.35%,"13,36,853"
Nursesbnb,Consumer Software,Health Care,Internet,United States,A game-changing mid-term rental marketplace leveraging proprietary AI technology to provide peace of mind to healthcare professionals.,www.nursesbnb.com/,support@nursesbnb.com,—,,Seed,—,Grant,"$3,00,000.00",IdeaFest,,,,,681,353.83,845.83%,227,-95.65%,93.39%,29.52%,-70.48%,"77,34,097"
Desktop Commander,Artificial Intelligence (AI),,,Latvia,Desktop Commander provides AI-powered desktop automation technologies.,desktopcommander.app/,—,—,,Seed,"€11,00,000.00",Pre-Seed,"€11,00,000.00",42CAP,BADideas.fund,,,,"11,644","14,854.33",27.84%,465,11.24%,25.08%,54.77%,-13.52%,"15,76,969"
Upollo,Software,,,Australia,"Upollo accelerates subscription business growth by predicting who is going to churn, convert, expand and why",upollo.ai/,—,—,,Seed,"A$41,50,000.00",Seed,"A$41,50,000.00",Stripe,Cohere,Index Ventures,Canva,Notion,92,811.5,-29.77%,228,-70.92%,26.09%,86.96%,-13.04%,"1,96,22,970"
HerHeadquarters,Apps,B2B,Business Development,United States,HerHeadquarters is a Business Partnership Platform for Women Entrepreneurs,herheadquarters.app/,info@herhq.app,—,,Seed,"$1,00,000.00",Pre-Seed,"$2,25,000.00",Right Side Capital Management,Beta Boom,Invest Nebraska,NMotion,The Startup Collaborative,—,—,—,—,—,—,—,—,—
Ark Labs,Bitcoin,Payments,,United States,"Ark Labs is scaling Bitcoin with Ark, a new layer two protocol for fast, low-cost, seamless payments.",arklabs.to,—,—,,Seed,"$25,00,000.00",Pre-Seed,"$25,00,000.00",Draper Associates,Fulgur Ventures,Stephen Cole,Axiom BTC,,—,—,—,—,—,—,—,—,—
xRobotics,Food and Beverage,Manufacturing,Robotics,United States,xRobotics is a Machinery Manufacturing making pizza making collaborative robot for the industry.,xrobotics.io,hello@xrobotics.io,—,Roman Sharapov,Seed,"$25,00,000.00",Seed,"$25,00,000.00",SOSV,Mana Ventures,Ruvento,FinSight Ventures,Roman Smolevskiy,260,"1,371.5",-83.67%,176,826.32%,113.82%,60.77%,-22.91%,"1,24,61,816"
Synthera AI,Artificial Intelligence (AI),,,United Kingdom,Synthera indicates it can overcome the limitations of conventional financial forecasting techniques like Monte Carlo simulations.,www.synthera.ai,—,—,Mariana Barona,Seed,"$10,00,000.00",Non-equity Assistance,"€17,70,000.00",Entrepreneurs First,Motive Ventures,Robin Capital,Amazon Web Services,Transpose Platform Management,290,527.83,-42.23%,48,"10,380%",158.62%,60.34%,-39.66%,"1,18,02,781"
Camber,Artificial Intelligence (AI),Bioinformatics,Cloud Computing,United States,Camber is the AI for Science and Data Science,www.cambercloud.com/,info@cambercloud.com,—,,Seed,"$40,00,000.00",Seed,"$40,00,000.00",Alumni Ventures,Base10 Partners,,,,"12,997","8,775.17",-45.22%,283,82.58%,41.05%,41.89%,-20.12%,"14,46,114"
Portabl,Compliance,Data Storage,Financial Services,United States,Reusable identity & auth for open banking & payments,www.getportabl.com,hello@getportabl.com,—,,M&A,"$32,00,000.00",Pre-Seed,"$32,00,000.00",Pear VC,Bessemer Venture Partners,Harlem Capital,6th Man Ventures,Dorm Room Fund,—,—,—,—,—,—,—,—,—
aiConsultia,Agentic AI,Artificial Intelligence (AI),Generative AI,United States,"Empowering enterprises with Agentic AI, LLMs, MCP & Quantum AI | From automation to autonomy—engineering the future, today.",www.aiconsultia.ai,consult@aiconsultia.ai,+1(669)499-3737,,—,"$73,60,000.00",Non-equity Assistance,—,,,,,,—,—,—,—,—,—,—,—,—
Frizzle,EdTech,Education,STEM Education,United States,Frizzle provides an AI-powered grading tool for math assignments. The platform can grade both handwritten and typed student solutions.,frizzle.com,hello@frizzle.com,309-281-8862,Shyam Sai,Seed,"$5,00,000.00",Pre-Seed,"$5,00,000.00",Y Combinator,,,,,907,—,-70.26%,65,-5.8%,23.9%,44.76%,-27.38%,"67,96,524"
Valyu,Artificial Intelligence (AI),Data Collection and Labeling,Data Governance,United Kingdom,Trusted Data for your AI Apps and Models,www.valyu.network/,contact@valyu.network,—,,Seed,"$5,00,000.00",Pre-Seed,"$5,00,000.00",a16z crypto,,,,,234,"1,492.33",-87.93%,58,-59.72%,9.66%,37.18%,-9.14%,"1,31,32,629"
Flyway Health,Artificial Intelligence (AI),Health Care,SaaS,United States,Flyway Health is a healthtech company that offers brand-tailored AI agents for healthcare assistance.,www.flywayhealth.com/,—,+1 609-608-8258,,Seed,"$39,64,991.00",Seed,"$39,64,991.00",,,,,,176,—,-2.22%,0,—,-22.41%,100%,40.63%,"1,50,20,242"
Califix Compliance,Artificial Intelligence (AI),Energy,Mining Technology,Chile,"Califix Compliance automates contractor audits in mining, energy, and environment to enable fast, sustainable, and risk-free operations.",www.califixcompliance.com/,info@califix.cl,—,Pablo Aravena,Seed,"$1,20,000.00",Seed,"$1,60,000.00",CORFO,Aster,ProInnovate,,,—,—,—,—,—,—,—,—,—
Poised,Artificial Intelligence (AI),Internet,Machine Learning,United States,Poised is an AI-powered communication coach.,www.poised.com/,—,—,Soumya Mohan,Seed,"$20,00,000.00",Seed,"$65,00,000.00",Wing Venture Capital,Liquid 2 Ventures,Hyphen Capital,Blue Moon,Slack Fund,"32,458","24,920",11.22%,282,113.64%,23.89%,56%,17.25%,"7,14,606"
Turneo,B2B,Hospitality,Hotel,United Kingdom,Turneo is a B2B platform that enables travel brands to offer and manage in-destination experiences for their guests.,www.turneo.com/,info@turneo.com,385 92 4212 795,Matija Marijan,Seed,"£17,00,000.00",Seed,"$31,09,518.00",Bessemer Venture Partners,Ascension,Underline Ventures,Silicon Gardens,Frederic Halley,532,"1,055.5",-63.96%,"1,494",937.5%,19.88%,57.89%,-23.02%,"87,01,862"
Openroll,Analytics,Artificial Intelligence (AI),Software,Sweden,"Openroll offers an AI platform that helps companies compare salaries, plan pay, and make data-driven decisions.",www.openroll.com,support@openroll.com,46767880207,Porsev Aslan,Seed,"$5,00,000.00",Pre-Seed,"$5,00,000.00",Y Combinator,,,,,"8,130",—,-50.8%,41,-79.8%,0.65%,91.43%,0.73%,"20,79,023"
HABIT,Artificial Intelligence (AI),Robotics,Software,United States,HABIT is a software that develops robots for various neighborhood services with intelligent robotics.,habitrobotics.com/,founders@habitrobotics.com,—,Michael Trehan,Seed,"$5,00,000.00",Pre-Seed,"$5,00,000.00",Y Combinator,Sunset Ventures,,,,121,462.17,-82.1%,0,280%,-33.14%,100%,52.95%,"1,76,76,186"
Elite HRV,Digital Entertainment,Fitness,Health Care,United States,"Elite HRV delivers real-time biomarker insights for stress, fitness, wellness, health, gaming, productivity, and more.",elitehrv.com,support@elitehrv.com,—,Jason Moore,Seed,"$60,02,989.00",Seed,"$98,27,989.00",Amasia,Corl,Ideaship,Boston Seed Capital,NC IDEA,"44,384","55,775.67",6.02%,110,-67.55%,16.38%,67.93%,12.06%,"5,63,331"
GigEngyn,Mobile Apps,Mobile Payments,Software,United States,GigEngyn is a B2B SaaS that streamlines field sales and marketing with a single unified platform,www.gigengyn.com,amber@gigengyn.com,214-901-5218,Vikram Sethi,Seed,"$4,00,000.00",Pre-Seed,"$4,75,000.00",,,,,,—,—,—,—,—,—,—,—,—
Phaselaw,Analytics,Application Performance Management,Artificial Intelligence (AI),United States,"Phaselaw is an AI-powered for legal large-scale document review and redaction disclosures, litigation, and regulatory inquiries efficiently.",phase.law,support@phaselab.co,+1 646 631 0601,Joshua Schwartz,Seed,"$28,00,000.00",Seed,"$28,00,000.00",Pear VC,BoxGroup,Twelve Below,Defined,,482,928.17,-23.25%,0,610.94%,-70.57%,100%,52.79%,"91,25,780"
DAM,Cryptocurrency,,,United States,"DAM is a protocol for creating purchasing power from cross-chain token portfolios through dPRIME, a Dotsama-based stablecoin.",www.dam.finance,soho@dam.finance,—,Sophie Holm,Seed,"$18,00,000.00",Pre-Seed,"$18,00,000.00",Arrington XRP Capital,Digital Finance Group (DFG),LedgerPrime,Jsquare,D1 Ventures,54,—,—,0,—,—,100%,—,"2,35,16,445"
Hypercubic,Artificial Intelligence (AI),B2B,Enterprise,United States,Hypercubic is an enterprise AI platform that builds digital twins of company knowledge to preserve expertise and streamline operations.,www.hypercubic.ai,team@hypercubic.ai.,—,Sai Gurrapu,Seed,"$5,00,000.00",Pre-Seed,"$5,00,000.00",Y Combinator,,,,,"1,574",—,283.9%,61,"1,933.33%",-7.37%,92.12%,37.35%,"53,31,211"
Agenta,Apps,Artificial Intelligence (AI),Information Technology,Germany,Agenta is the open-source LLMOps platform that helps developers and subject matter experts build reliable AI applications.,agenta.ai,—,—,Mahmoud Mabrouk,Seed,"€10,00,000.00",Seed,"€11,00,000.00",Antler,InReach Ventures,,,,"20,021","9,252.17",95.23%,418,-32.25%,-43.37%,74.25%,17.71%,"10,36,388"
Float,Credit Cards,E-Commerce,Embedded Software,South Africa,"Installment payments platform for merchants, that allows shoppers to split card payments into flexible, interest-free monthly payments.",www.float.co.za/,alex@float.co.za,—,,Seed,"$26,00,000.00",Seed,"$26,00,000.00",Standard Bank,SAAD Investment Holdings,Platform Investment Partners,Invenfin,Lighthouse Venture Partners,"34,191","27,803.17",14.36%,454,13.5%,-11.64%,56.66%,17.02%,"6,86,731"
Spill,Mobile Apps,Social Media,,United States,"Spill is a social-media application that enables users real time conversations, host in-app chat events virtually and IRL.",www.spill.com/,support@spill-app.com,—,DeVaris Brown,Seed,—,Pre-Seed,"$47,50,000.00",Collide Capital,MaC Venture Capital,Sunset Ventures,Kapor Center,Kerry Washington,"20,315","17,924",356.82%,77,16.67%,-5.16%,56.47%,-4.16%,"10,24,745"
Emancro Robotics Corp.,Artificial Intelligence (AI),Health Care,Robotics,United States,General-Purpose Hospital Logistics Robots,emancro.ai,febert@emancro.ai,510-918-0431,,Seed,"$35,00,000.00",Seed,"$35,00,000.00",AIX Ventures,Outset Capital,,,,810,272.5,67.01%,322,-64.85%,-0.87%,70.74%,176.65%,"71,48,283"
Accend,Consulting,Information Technology,Software,United States,Accend automatically generate comprehensives KYB/EDD reports and conducts extensive online research services.,www.withaccend.com,founders@withaccend.com,7654094403,Pranjal Daga,Seed,"$32,00,000.00",Seed,"$37,00,000.00",General Catalyst,Y Combinator,645 Ventures,Adverb Ventures,Warrick Shanly,691,"1,196.67",-20.94%,0,-74.86%,-53.76%,100%,227.33%,"76,81,299"
Needle,Artificial Intelligence (AI),Information Services,,United States,Needle operates as an AI-driven platform for search and agent creation.,needle-ai.com/,—,—,,Seed,"€20,00,000.00",Seed,"€20,00,000.00",468 Capital,Presight Capital,,,,358,—,-13.11%,0,—,-55.12%,100%,216.96%,"1,05,69,932"
Nook,Blockchain,Cryptocurrency,,United States,Nook is enabling everyone to access greater savings rates.,nookapp.xyz,—,—,,Seed,"$25,00,000.00",Seed,"$25,00,000.00",Defy.vc,Coinbase Ventures,UDHC,,,"2,064","3,921.33",28.68%,751,394.08%,12.62%,90.5%,-7.78%,"47,42,214"
Cambrian,Artificial Intelligence (AI),Blockchain,Financial Services,,Cambrian is an AI infrastructure protocol that creates quickly available financial insight from offchain and onchain information.,www.cambrian.org/,—,—,,Seed,"$59,00,000.00",Seed,"$59,00,000.00",a16z crypto,Blockchain Builders Fund,,,,"2,104","3,320.33",29.32%,237,127.88%,65.23%,31.46%,-38.7%,"47,02,221"
Jabbr,Information Technology,Media and Entertainment,Virtual Reality,Denmark,Jabbr allows to capture boxing matches with a virtual video production.,jabbr.ai/,hello@jabbr.ai,—,Elias Obeid,Seed,"€43,00,000.00",Seed,"€49,85,000.00",PSV,Buckley Ventures,Accelerace,Alexis Ohanian,PSV Tech,"1,723","2,141.5",-72.52%,87,-77.17%,43.34%,54.32%,-41.07%,"51,28,269"
3Laws Robotics,Intelligent Systems,Robotics,Software,United States,3Laws Robotics provides dynamics safety guardrails for autonomous and human operated systems.,3laws.io/,—,—,Thomas Gurriet,Seed,"$41,00,000.00",Seed,"$41,00,000.00",TenOneTen Ventures,Amazon Industrial Innovation Fund,Sand Hill North,,,"2,442","2,830.17",-30.19%,143,130.65%,1.21%,54.3%,-28.35%,"43,88,836"
Beam,Cryptocurrency,FinTech,Payments,United States,Beam is a payment service that uses stablecoins to help people send money globally faster and cheaper.,www.getbeam.cash/,—,—,,M&A,"$70,00,000.00",Venture - Series Unknown,"$70,00,000.00",Archetype,Castle Island Ventures,Arca,Bankless Ventures,Verda Ventures,232,"1,567.67",-85.91%,451,2.27%,5.04%,59.48%,10.83%,"1,31,94,314"
C.Scale,SaaS,,,United States,Predictive SaaS enabling a zero carbon built environment.,www.cscale.io/,hi@cscale.io,—,Jack Rusk,Seed,"$20,00,000.00",Pre-Seed,"$20,00,000.00",Active Impact Investments,Wireframe Ventures,,,,"2,011","1,412",111.24%,69,-91.85%,-82.29%,82.5%,58.35%,"47,98,272"
Lucid AI,Artificial Intelligence (AI),B2B,Hospitality,United States,Emotionally intelligent software that makes people and spaces feel the way they’re meant to.,lucidemotion.io,team@lucidemotion.co,—,,—,—,Convertible Note,"$3,80,000.00",Antler,Techstars,,,,217,"2,840.33",-74.26%,147,-82.05%,-7.29%,83.87%,10.47%,"1,36,37,697"
Whitebox,Advertising,E-Commerce,Information Technology,United States,"Whitebox provides e-commerce marketing, automation, and fulfillment services intended to streamline e-commerce operations",whitebox.com,hello@whitebox.com,(410)929-7608,Sean Clark,Late Stage Venture,"$2,00,00,000.00",Series C,"$4,96,00,000.00",TEDCO,Noro-Moseley Partners,Delta-v Capital,TCP Venture Capital,TDF Ventures,—,—,—,—,—,—,—,—,—
No Cap,Artificial Intelligence (AI),Professional Networking,,United States,World's first AI startup investor,www.nocap.so,a@nocap.so,—,Dmitry Starodubtsev,Seed,"$30,00,000.00",Seed,"$30,00,000.00",Y Combinator,Liquid 2 Ventures,AltaIR Capital,Pioneer Fund,Rebel Fund,"1,176","2,792.5",-39.51%,16,-92.34%,-38.32%,87.59%,12.25%,"60,56,438"
Keep,B2B,Information Technology,Open Source,Israel,Keep is a open-source AI operations platform that helps users to leverage AI for IT operations.,www.keephq.dev/,founders@keephq.dev,—,Shahar Glazner,M&A,"$27,00,000.00",Pre-Seed,"$27,00,000.00",Y Combinator,Runa Capital,Firestreak Ventures,Jan Oberhauser,Andrew Miklas,"6,257","8,298.33",-49.98%,663,58.99%,-35.69%,29.41%,-36.36%,"25,00,237"
