Name,Domain,tech_stack,monthly_visits,letter_grade,priority,signal_category,chosen_signal,angle_rationale,inference,why_it_matters,use_traffic_scale,genuine_positive,quotable_fact_to_use,secondary_point,secondary_reasoning,case_study_name,case_study_rationale,case_study_url,tone_flag,first_message,second_message,third_message
Dexa AI,dexa.ai,custom/static,85155,C,high,design,design blends in (score 47),none,expert endorsements drive trust; cold visitors are the gap,at ~85k visits/mo a sharper site converts more cold visitors,True,strong expert endorsements,none,none,none,Webless AI,"Webless is an AI product whose design blended in and gave cold visitors no way in, closest industry and problem match to Dexa's design-blends-in issue, and the result is a design/engagement outcome, not a performance metric.",https://prismport.co/case-studies/webless-ai,clean,"Hey {first-name}, came across Dexa while looking at AI tools.
The expert endorsements you've got are strong, so I'd guess the people who already trust those names convert fine, and a lot of growth is word of mouth.
The gap is the cold visitor, and right now the design is clean but blends in, so there's room to make it as distinctive and credible as the product.
At around 85k visits a month, a sharper site converts more of those first-timers.
Is a refresh on your radar?","Hey {first-name}, quick context, we're a design and Webflow studio.
We worked with Webless, an AI search tool, on a close version of this: the technology was impressive but the site gave cold visitors no way in, so we rebuilt the brand and grounded the product in real use cases.
https://prismport.co/case-studies/webless-ai
Bounce rate dropped 20% and time on page grew 32%, which is the kind of lift a sharper site could bring to your cold traffic too.
Happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Huxe,www.huxe.com,custom/static,75237,D-,skip,other,none,none,none,none,False,none,none,none,SKIP: the site shows a wind-down notice. Do not pitch a redesign to a company shutting down.,none,none,,clean,,,
Hookdeck,hookdeck.com,custom/static,73277,C,high,design,competent but undistinctive design,"Content is strong (75) with quantified proof, so design (50) is the lever; the developer audience notices craft. a11y is only ARIA-serious, not lawsuit-critical, so not led with.","Event-driven infra spreads developer to developer, and your content and proof are already strong, so design is the one lever left to stand out to a crowd that notices craft.","At 70k+ visits a month, a site that feels as considered as the product converts more of those developers.",True,"The content is highly credible, with robust social proof and quantified performance metrics.",robust social proof and quantified performance metrics,none,"a11y issues are ARIA-level (serious, not lawsuit-critical enough to lead with); no cookie/AI/SSL secondary flagged.",Webless AI,"Webless is a technical, abstract dev-adjacent product where the design itself (not clarity of copy or IA) was the gap, and the fix was a craft-driven rebuild, directly mirroring the 'competent but undistinctive design' pitch made to Hookdeck.",https://prismport.co/case-studies/webless-ai,clean,"Hey {first-name}, came across Hookdeck while looking at dev tools. Reliable webhook and event handling is the kind of thing devs recommend to other devs, so I'd guess a lot of your growth is word of mouth in that crowd. Your content already does a great job, with genuinely strong proof and quantified metrics, so the one lever left is the design, it's clean and professional but doesn't yet stand out, and your audience is exactly the crowd that notices craft. At over 70k visits a month, a sharper site converts more of those developers. Is a refresh something you're thinking about?","Hey {first-name}, quick context, we're a design and Webflow studio. We recently worked with Webless AI, an AI company, on a problem close to yours, their tech was strong but the site's design didn't reflect that craft to a technical audience.
https://prismport.co/case-studies/webless-ai
After the rebuild, bounce rate dropped 20% and time on page grew 32%, and that's the kind of lift a sharper design could bring to Hookdeck's 70k+ monthly developers.
Happy to show you how we'd approach yours.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Medwise.ai,www.medwise.ai/,custom/static,66553,D+,high,content,value proposition clarity / differentiation,"Real-user load and responsiveness are both good, so performance isn't honest to lead with. Design scores mid (46) but reads as a competent, safe template rather than a clear liability. Content scores lowest (51) and the note flags a real, specific problem, named partners for credibility but no clear differentiated value prop, which matters most for an AI product selling into skeptical health professionals. blocks_ai_crawlers is real but secondary and technical, so it's held for message 2 rather than leading.","For a tool built for health professionals, i'd guess most of your users arrive already primed, referred by a colleague, a hospital system, or a partner they trust, since that's a field where people don't just stumble onto a new AI tool cold. which means the site's real job is convincing the ones who land without that context already in hand.","at around 66,000 visits a month, even a modest slice of cold visitors leaving because the value prop isn't landing fast adds up to a meaningful number of missed signups every month.",True,the named partners used for credibility on the site,none,blocks_ai_crawlers: your robots setup is blocking the ai crawlers,"It's the only secondary signal present, and for a discovery-driven AI product being invisible to tools like ChatGPT is a genuinely relevant finding worth flagging, so it earns the message 2 slot on its own.",Qmin AI,"Qmin is the strongest problem-match: a dense, technical SaaS product where the core issue was visitors not grasping the value fast enough, the same gap Medwise has with cold, professional visitors. Industry isn't identical but the underlying clarity problem transfers directly.",https://prismport.co/case-studies/qmin,clean,"Hey {first-name}, came across Medwise.AI looking at AI tools for health professionals.

I'd guess most of your users arrive already primed, referred by a colleague, a hospital system, or a partner they already trust. Healthcare folks don't usually just stumble onto a new AI tool cold.

That's a real asset, and it also means the site's main job is winning over the people who land without that context already in hand. Right now the value prop takes a bit of digging to land, even with the named partners you've got on there for credibility.

At the traffic you're pulling, even a small lift in how fast that clicks for a cold visitor is a real number of signups a month.

Is making that clearer something you're thinking about?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Qmin AI, a SaaS product that was dense and hard to grasp quickly, on a similar challenge to yours.

https://prismport.co/case-studies/qmin

We rebuilt it so the product clicks in under 60 seconds. Felt close to what you're working through with getting the value prop to land fast for cold visitors.

Happy to show you how we'd approach yours.

Also, one separate thing, your robots setup is blocking the AI crawlers, so tools like ChatGPT can't see the site.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Cirkled in,www.cirkledin.com/,custom/static,65494,C-,high,design,generic design vs vibrant audience,"Both design (39, generic) and perf (LCP 3.22 / CLS 0.24) are poor; I led on design because a Gen-Z brand living on vibrancy makes distinctiveness the more on-brand, opportunity-framed pitch.","A Gen-Z network that showcases young people's achievements should feel as vibrant as its audience, and growth likely runs on schools and students sharing it.","At 65k+ visits a month, a more distinctive site converts more of the students and families landing cold.",True,Strong third-party credibility already comes through in the content.,leverages strong third-party credibility,none,"No cookie/AI/SSL secondary flagged; perf is poor too but design is the stronger, more on-brand lead for a youth product.",YourCulture,"YourCulture was a consumer/community brand whose site felt flat and generic against its vibrant audience, the exact design gap raised with Cirkled In, and the fix was bold, expressive design, not a performance play.",https://prismport.co/case-studies/your-culture,clean,"Hey {first-name}, came across Cirkled In while looking at consumer apps. A place where young people showcase their achievements is exactly the kind of thing that spreads school to school and student to student, so I'd guess a lot of your growth is word of mouth. Which puts the weight on cold visitors landing for the first time, and right now the design is fairly generic, so there's real room to make the site feel as vibrant and alive as the audience on it. At over 65k visits a month, a more distinctive site converts more of those students and families. Is a refresh on your radar?","Hey {first-name}, quick context, we're a design and Webflow studio. We worked with YourCulture, a platform for artists and fan communities, on a close version of your problem, a site that read flat next to the energy of the people on it. We built two full journeys with expressive typography and motion to match that energy.
https://prismport.co/case-studies/your-culture
They ended up scoring 97 on Lighthouse, with perfect accessibility and SEO, on top of the redesign, and for Cirkled In that same kind of shift would mean a site that finally feels as vibrant as the students and families landing on it. Happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
simplyblock,www.simplyblock.io,custom/static,46576,C,high,performance,"slow to load (LCP needs-improvement, fails Google speed)","LCP 3.04 (needs-improvement) plus fails Google speed; the kind-but-pointed you-sell-low-latency-storage-so-make-the-site-live-up-to-it angle is the strongest, most specific inference.","You sell low-latency, high-performance storage, so the site itself living up to that pitch matters, and growth is mostly technical people sharing it.","At 46k+ visits a month, a genuinely fast site keeps more of those technical evaluators around and has the site match the product's promise.",True,The content is technically robust and the custom 3D illustrations are a real highlight.,custom 3D illustrations are a definite highlight,none,No cookie/AI/SSL secondary flagged.,Studio Artegra,"Message 1's pitch is purely about load speed on a site that already looks strong, and Studio Artegra is the direct match: strong visual direction undermined by slow performance, fixed with a measurable speed gain, no design-story substitution.",https://prismport.co/case-studies/studio-artegra,clean,"Hey {first-name}, came across simplyblock while looking at dev tools. Low-latency storage for IO-intensive workloads is a sharp, technical pitch, and I'd guess most of your growth is engineers sharing it with other engineers. The content is genuinely strong and the 3D illustrations stand out, so the one thing with room is that the site itself takes a moment to load right now, which is an easy win, and it'd have the site living up to the low-latency promise. At over 46k visits a month, getting it fast keeps more of those technical evaluators around. Is site performance something you're looking at?","Hey {first-name}, quick context, we're a design and Webflow studio. We recently worked with Studio Artegra, a creative agency, on a problem close to yours, a site with strong visual direction that was slow under the surface.
https://prismport.co/case-studies/studio-artegra
Performance improved by over 25% across the site, and for simplyblock that kind of gain means more of those 46k monthly visitors sticking around instead of bouncing before the pitch lands. Happy to show you how we'd approach yours.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
BeHeard Labs,gobeheard.com,custom/static,44890,B+,high,design,competent but undistinctive design,"Content is exceptional (88), design (62) is the clear lever; no real-user perf data (only lab 90), so perf not used. AI-invisible is the one secondary.","A feedback SaaS with conversational agents spreads through teams sharing results, and your content is already exceptional, so design is the one lever left to match it.","At 44k+ visits a month, a site that looks as strong as it reads converts more of the businesses landing cold.",True,"The content is exceptionally well-structured, with clear explanations, concrete examples, and strong social proof.","exceptionally well-structured, strong social proof",ai_invisible_client_rendered,"Only signal flagged; AI-invisibility is a clean, differentiated secondary for an AI SaaS.",Webless AI,"Webless is an AI product whose tech was strong but whose design didn't do it justice, the exact clean-but-undistinguished design gap raised in message 1, and it's the closest industry match for an AI feedback tool.",https://prismport.co/case-studies/webless-ai,clean,"Hey {first-name}, came across BeHeard while looking at AI tools. Collecting and analyzing customer feedback through conversational agents is a strong pitch, and I'd guess a lot of your growth is teams sharing the results they get. Your content is genuinely exceptional, some of the clearest I've seen, so the one lever left is the design, it's competent and clean but doesn't quite stand out yet, and there's room to make it feel as strong as the writing. At over 44k visits a month, a sharper site converts more of those businesses landing cold. Is a refresh something you're exploring?","Hey {first-name}, quick context, we're a design and Webflow studio. We recently worked with Webless AI, a generative AI search company, on a problem close to yours, their tech was impressive but the site's design wasn't doing it justice, so we rebuilt the brand and grounded the product in real use cases.
https://prismport.co/case-studies/webless-ai
Bounce rate dropped 20% and time on page grew 32%, that's the kind of lift a sharper design could bring to the businesses already landing on BeHeard cold. Happy to show you how we'd approach yours.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Mindy,mindy.com,custom/static,39945,D+,high,performance,real-user load poor (6.5s),none,an inbox assistant gets shared once it clicks,at ~40k visits/mo a faster site keeps people around to convert,True,concrete examples + testimonials,none,ai-invisible (client-rendered),"Fully client-rendered, so AI engines/crawlers can't read it. Rare and distinctive, preferred for variety. Also present: ad-cookies.",Studio Artegra,"Message 1's problem is pure load-speed friction on an otherwise fine site, and Studio Artegra is the study where a good-looking site was slow and got a measured performance fix, which matches without stretching an unrelated metric.",https://prismport.co/case-studies/studio-artegra,clean,"Hey {first-name}, came across Mindy while looking at AI tools.
An assistant that works straight from your inbox is the kind of thing people share once it clicks, so I'd guess a lot of growth is word of mouth.
The biggest thing holding that back right now is speed, the site is genuinely slow to load, which is friction before anyone sees the value.
At around 40k visits a month, getting that fast keeps more of those people around to convert.
Is performance something you're digging into?","Hey {first-name}, quick context, we're a design and Webflow studio. We recently worked with Studio Artegra, a creative agency, on a problem pretty close to yours, a site that looked good but was slow and inconsistent under the surface.
https://prismport.co/case-studies/studio-artegra
We improved performance by over 25% across the site, and at Mindy's traffic that kind of gain means a lot more people sticking around to actually try it.
Happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
Gumshoe AI,www.gumshoe.ai,custom/static,37061,C+,high,design,design sits in the ai-saas lane (51),none,people who get it convert; cold visitors are the gap,at 35k+ visits/mo a sharper site converts more,True,excellent content (86),none,none,none,Webless AI,"Webless is an AI search tool whose polished tech had a generic, undifferentiated design, the exact same category-blending problem message 1 raised for Gumshoe, and the fix was a distinctive brand and design rebuild, not a performance patch.",https://prismport.co/case-studies/webless-ai,clean,"Hey {first-name}, came across Gumshoe while looking at AI tools.
Your content is excellent, genuinely one of the clearer pitches I've seen, so I'd guess the people who get it convert well.
The one lever left is the design, it's clean but sits in the same lane as a lot of AI-SaaS sites, so there's room to make it as distinctive as the product.
At over 35k visits a month, a sharper site converts more cold visitors.
Is a refresh something you're exploring?","Hey {first-name}, quick context, we're a design and Webflow studio.
We recently rebuilt the site for Webless AI, a generative AI search tool whose design blended in the same way we flagged for you, and the fix was a full brand and design rebuild plus around 40 custom animation frames to make the product feel distinct.
https://prismport.co/case-studies/webless-ai
Bounce rate dropped 20% and time on page grew 32%, that's the kind of lift a sharper, more distinctive design could bring to your 35k monthly visitors.
Happy to sketch out how we'd approach yours if useful.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
Rodeo,www.gorodeo.app/,custom/static,36047,C+,high,design,clean but generic brand (56),none,gig drivers share apps by word of mouth,at 35k+ visits/mo a sharper brand converts more drivers,True,"clean, clear product",none,none,none,YourCulture,"Both are consumer-facing brands relying on word of mouth, where a generic or thin site fails to feel distinctive or memorable to cold visitors, and the fix was expressive brand and motion design, not restructuring for clarity.",https://prismport.co/case-studies/your-culture,clean,"Hey {first-name}, came across Rodeo while looking at B2B SaaS sites.
Seeing all your earnings in one place is a genuinely useful thing for gig drivers, and I'd guess most of your growth is drivers telling other drivers.
The site is clean, so the one lever left is the brand feeling a bit more distinctive and memorable for the people landing cold.
At over 35k visits a month, a sharper site converts more of those drivers.
Is a refresh on your radar?","Hey {first-name}, quick context, we're a design and Webflow studio.
We did similar work for YourCulture, a fan community platform, whose site was a single page that said almost nothing about who they were, close to the generic brand feeling we flagged for Rodeo.
https://prismport.co/case-studies/your-culture
We built out two full journeys with expressive typography and motion and still hit 97 on Lighthouse, and a sharper brand like that is exactly what would help Rodeo stand out to drivers landing cold.
Happy to sketch out how we'd approach it for Rodeo whenever you've got a minute.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
"Contribution Labs, Inc.",megaphone.xyz/,custom/static,24411,C,high,design,brand can feel as sharp as the client results,none,"results that wild sell themselves, so new business comes via reputation and referrals","converting more cold visitors is real pipeline (traffic modest ~24k, no scale framing)",False,elite proof (SQD $6.5M in 19 min),SQD's token pre-sale raised $6.5 million in 19 minutes,none,none,Webless AI,"Webless had a strong, technical product but a brand and narrative that didn't match its results, mirroring Contribution Labs' gap between sharp client outcomes and a brand that doesn't yet feel as sharp; and it delivers a measurable engagement result rather than a pure speed or dev metric.",https://prismport.co/case-studies/webless-ai,clean,"Hey {first-name}, came across Contribution Labs in the crypto marketing space.
Pulling off something like SQD's $6.5m presale in 19 minutes is the kind of result that sells itself, so I'd guess most of your new business comes through reputation and referrals.
Which means the site mainly needs to win the people who find you cold, and the brand there has room to feel as sharp as the results you get clients.
Even a handful of those cold visitors converting is real pipeline for a brand that sells marketing.
Is leveling up the site on the radar?","Hey {first-name}, quick context, we're a design and Webflow studio.
We recently worked with Webless AI, a generative AI search company, on a close version of what you're dealing with, their product was strong but the brand and story around it weren't landing with cold visitors.
https://prismport.co/case-studies/webless-ai
After the rebuild, bounce rate dropped 20% and time on page grew 32%, which is exactly the kind of lift that turns cold traffic into pipeline for a brand like yours.
Happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
